sequence_id,organism,condition_en,condition_es,PC1,PC2
O15230,Homo sapiens (Human),Diseased,Enfermo,0.15459768648438332,-1.9644195795565567
O15232,Homo sapiens (Human),Healthy,Sano,0.09528629708736998,-0.4256156585420785
O15245,Homo sapiens (Human),Diseased,Enfermo,-3.508126327516508,2.7836261752810847
O15247,Homo sapiens (Human),Healthy,Sano,1.3597234718541111,1.2407889176015292
O15259,Homo sapiens (Human),Healthy,Sano,0.7272612933785215,-0.9133310393977517
O15260,Homo sapiens (Human),Diseased,Enfermo,-0.7397881851995866,7.603700068815252
O15263,Homo sapiens (Human),Diseased,Enfermo,-4.785429353109971,3.8073762457657283
O15265,Homo sapiens (Human),Diseased,Enfermo,0.7478567039924446,-2.9127752004003753
O15266,Homo sapiens (Human),Healthy,Sano,1.482374454982387,-0.24145351383529967
O15269,Homo sapiens (Human),Diseased,Enfermo,-2.4101790617154832,-0.25194416998118935
O15297,Homo sapiens (Human),Diseased,Enfermo,0.7397086793534385,-0.7897918791460719
O15318,Homo sapiens (Human),Healthy,Sano,4.808548082433488,-3.3923965128425513
O15370,Homo sapiens (Human),Healthy,Sano,3.5200876131305883,-1.8009535197311755
O15389,Homo sapiens (Human),Diseased,Enfermo,-1.2493439344770902,-0.6989255912937602
O15399,Homo sapiens (Human),Diseased,Enfermo,-0.9894766148074366,0.029131697360353283
O15400,Homo sapiens (Human),Healthy,Sano,4.380612196750011,2.5466527576368367
O15446,Homo sapiens (Human),Diseased,Enfermo,0.9363606806475406,-3.7064551601621663
O15484,Homo sapiens (Human),Healthy,Sano,0.14557721005169524,-0.49521886949224087
O15488,Homo sapiens (Human),Healthy,Sano,0.5127204717082026,0.3368826004126748
O15511,Homo sapiens (Human),Healthy,Sano,-3.158853646397435,-3.338635998129348
O15520,Homo sapiens (Human),Healthy,Sano,-1.329833209422948,0.29675640401101766
O15533,Homo sapiens (Human),Diseased,Enfermo,-2.22489465343018,0.45034944910016306
O15540,Homo sapiens (Human),Healthy,Sano,0.9379819954160069,2.150559526598103
O15541,Homo sapiens (Human),Healthy,Sano,2.5742932856531464,-2.248254027859874
O15551,Homo sapiens (Human),Diseased,Enfermo,-4.812486468656883,2.9539148118939984
O15554,Homo sapiens (Human),Diseased,Enfermo,-5.713760986140911,-0.46342536473701607
O42043,Homo sapiens (Human),Diseased,Enfermo,-2.151516892795338,-0.6428982084252751
O43143,Homo sapiens (Human),Diseased,Enfermo,-0.16823322255852377,-1.437437368034925
O43155,Homo sapiens (Human),Healthy,Sano,-0.7560746728414365,1.2502126482177098
O43166,Homo sapiens (Human),Diseased,Enfermo,1.4551078775339268,-1.9888018182554668
O43172,Homo sapiens (Human),Healthy,Sano,1.0254183975850115,0.208003288646689
O43181,Homo sapiens (Human),Healthy,Sano,1.3556289666700712,-0.28156453608220483
O43196,Homo sapiens (Human),Diseased,Enfermo,-0.2314105172217523,1.6830285565977303
O43237,Homo sapiens (Human),Healthy,Sano,-0.08836866300833851,-1.2431574644509245
O43264,Homo sapiens (Human),Diseased,Enfermo,2.027042600991553,2.2511950351306567
O43294,Homo sapiens (Human),Diseased,Enfermo,-0.6727056907726847,-1.7920136833161242
O43310,Homo sapiens (Human),Healthy,Sano,0.9038690179632574,-3.320286992847352
O43323,Homo sapiens (Human),Diseased,Enfermo,-1.1997690435192205,0.8677844281449837
O43395,Homo sapiens (Human),Diseased,Enfermo,3.204854706429063,0.0003316762037817225
O43439,Homo sapiens (Human),Diseased,Enfermo,2.0280874584420574,-0.8430726336734264
O43464,Homo sapiens (Human),Diseased,Enfermo,-2.5430644245453284,-0.5552560229527701
O43474,Homo sapiens (Human),Diseased,Enfermo,-0.43139712810824055,-2.078324544246276
O43521,Homo sapiens (Human),Diseased,Enfermo,-1.1088944474477216,-5.06816589499623
O43525,Homo sapiens (Human),Diseased,Enfermo,-0.6121643449061489,-0.4258185852612064
O43526,Homo sapiens (Human),Diseased,Enfermo,-0.31544504020917175,-0.33053336073484574
O43529,Homo sapiens (Human),Healthy,Sano,-0.5170730907649623,1.47830277131196
O43543,Homo sapiens (Human),Healthy,Sano,-0.7974233478602227,0.5111094744595787
O43548,Homo sapiens (Human),Healthy,Sano,-0.37516808955842207,0.9270865537013242
O43556,Homo sapiens (Human),Healthy,Sano,0.10524871701872983,0.8461615170275952
O43566,Homo sapiens (Human),Diseased,Enfermo,0.025412126892167906,-1.5079535781919524
O43581,Homo sapiens (Human),Healthy,Sano,-0.7553994189024871,-0.681042791609719
O43593,Homo sapiens (Human),Diseased,Enfermo,0.24988942092164526,-1.5163518036124664
O43598,Homo sapiens (Human),Healthy,Sano,1.3816779838950382,1.200593265058317
O43603,Homo sapiens (Human),Diseased,Enfermo,-5.822390298304991,0.8808810766329761
O43609,Homo sapiens (Human),Diseased,Enfermo,-0.1862519499956942,-2.8516695524161957
O43715,Homo sapiens (Human),Healthy,Sano,8.945775082956724,5.065299531324501
O43719,Homo sapiens (Human),Healthy,Sano,3.3794381223402072,-5.4035307198746985
O43761,Homo sapiens (Human),Diseased,Enfermo,-2.5322043304841975,2.6170482423796333
O43808,Homo sapiens (Human),Diseased,Enfermo,-4.9823138554474005,0.9128451100654088
O43818,Homo sapiens (Human),Diseased,Enfermo,0.01227467655268309,-0.7268623512919463
O43823,Homo sapiens (Human),Healthy,Sano,0.7710410666170758,-4.644783995878798
O43825,Homo sapiens (Human),Diseased,Enfermo,-0.8101751272259589,0.3928545400314442
O43826,Homo sapiens (Human),Diseased,Enfermo,-4.297486376174599,3.0575385808481994
O43827,Homo sapiens (Human),Healthy,Sano,1.1466565668021507,0.7768185100111604
O43854,Homo sapiens (Human),Healthy,Sano,-0.7951703042773184,-0.8148360355784492
O43865,Homo sapiens (Human),Diseased,Enfermo,1.1536859922751372,1.7716896798586739
O43866,Homo sapiens (Human),Healthy,Sano,0.28108433985177744,-0.6173830532217233
O43868,Homo sapiens (Human),Diseased,Enfermo,-2.9994375865635603,3.6849028569979554
O43897,Homo sapiens (Human),Healthy,Sano,1.0247614264055351,-0.7440255108793685
O43903,Homo sapiens (Human),Healthy,Sano,0.405150615087344,0.05195953810663569
O43913,Homo sapiens (Human),Healthy,Sano,-0.2417864674669552,2.446746113467117
O43914,Homo sapiens (Human),Diseased,Enfermo,-1.856425856207687,1.5529201842240152
O60235,Homo sapiens (Human),Healthy,Sano,-1.9122907823768416,0.23095440813539522
O60245,Homo sapiens (Human),Healthy,Sano,0.147869358497978,-1.0553801865348988
O60264,Homo sapiens (Human),Diseased,Enfermo,1.5448005201262682,-0.7521773076779266
O60266,Homo sapiens (Human),Diseased,Enfermo,-1.88892075434817,0.2788860564362968
O60281,Homo sapiens (Human),Diseased,Enfermo,1.5447538071007978,-1.8718858289898903
O60284,Homo sapiens (Human),Healthy,Sano,1.0716361213924097,-2.9448632439505458
O60307,Homo sapiens (Human),Diseased,Enfermo,1.8362635285233448,-0.639165805416114
O60315,Homo sapiens (Human),Healthy,Sano,1.3829087660022654,-2.9038435046135826
O60381,Homo sapiens (Human),Healthy,Sano,0.5421039653217312,-1.9658056698356439
O60393,Homo sapiens (Human),Diseased,Enfermo,0.4780528368391451,-1.7797623566182856
O60449,Homo sapiens (Human),Healthy,Sano,0.1561068829927139,-0.5653720156635464
O60469,Homo sapiens (Human),Diseased,Enfermo,-0.42744328806670856,-0.7009046930199776
O60481,Homo sapiens (Human),Healthy,Sano,-1.1750522461531685,-2.541766829386895
O60502,Homo sapiens (Human),Healthy,Sano,0.372195811206546,-0.11077869129994508
O60519,Homo sapiens (Human),Healthy,Sano,5.812385222536344,0.33055810494734134
O60548,Homo sapiens (Human),Diseased,Enfermo,-1.6572621920723154,-0.4519574881385329
O60568,Homo sapiens (Human),Healthy,Sano,0.9972635177742548,1.203258620746732
O60635,Homo sapiens (Human),Healthy,Sano,-6.412416249659624,2.8226079156154396
O60636,Homo sapiens (Human),Diseased,Enfermo,-3.825199591963605,3.641220192525267
O60667,Homo sapiens (Human),Diseased,Enfermo,-1.029150125661793,-1.1832528063553172
O60678,Homo sapiens (Human),Healthy,Sano,0.18595554236864528,1.2247560337117878
O60682,Homo sapiens (Human),Healthy,Sano,0.8400648207670014,-3.082867018370006
O60687,Homo sapiens (Human),Diseased,Enfermo,-0.6328776187230798,-2.4349392531455707
O60706,Homo sapiens (Human),Diseased,Enfermo,-1.8131506303859153,1.1965854857544336
O60729,Homo sapiens (Human),Diseased,Enfermo,0.5216885039863908,0.052673661333613744
O60741,Homo sapiens (Human),Diseased,Enfermo,-0.1766103650974006,0.31848759479967054
O60759,Homo sapiens (Human),Diseased,Enfermo,-0.1837323909507404,-2.406785551221881
O60784,Homo sapiens (Human),Healthy,Sano,3.360977114372546,1.7795863928768547
O60814,Homo sapiens (Human),Healthy,Sano,0.6040514950821959,-1.37372883053832
O60831,Homo sapiens (Human),Diseased,Enfermo,-1.6162000918285382,4.786343905430463
O60879,Homo sapiens (Human),Diseased,Enfermo,1.0398312303914965,-0.7167525222221254
O60882,Homo sapiens (Human),Healthy,Sano,-0.23959531332030948,1.2103633836782528
O60884,Homo sapiens (Human),Healthy,Sano,3.406644516389103,1.2373086560330435
O60909,Homo sapiens (Human),Diseased,Enfermo,-0.41055302817308326,1.089035935348611
O60921,Homo sapiens (Human),Healthy,Sano,0.38931943243043804,2.7433055980722094
O60930,Homo sapiens (Human),Healthy,Sano,1.2019686240764822,-0.1534314163038261
O60938,Homo sapiens (Human),Diseased,Enfermo,0.697954297068232,2.7281432079965895
O60939,Homo sapiens (Human),Healthy,Sano,-0.41595616995778567,0.06393356974642754
O60941,Homo sapiens (Human),Diseased,Enfermo,0.7180925308648642,-0.9972326664641542
O60942,Homo sapiens (Human),Healthy,Sano,0.5979404189505725,-0.567452752090513
O75019,Homo sapiens (Human),Healthy,Sano,-1.6148999559431514,0.2265465205945693
O75022,Homo sapiens (Human),Healthy,Sano,-1.5338981273329666,-2.284606484163048
O75072,Homo sapiens (Human),Healthy,Sano,-1.137507335120022,1.2906597058989002
O75077,Homo sapiens (Human),Healthy,Sano,-0.18028493956452976,-0.9607079434764306
O75132,Homo sapiens (Human),Diseased,Enfermo,0.3817491020213013,-1.035629185942562
O75151,Homo sapiens (Human),Diseased,Enfermo,2.0241736955517506,-1.0686223594402946
O75159,Homo sapiens (Human),Diseased,Enfermo,1.6134222033925356,-1.4494214236594904
O75175,Homo sapiens (Human),Healthy,Sano,3.995339789234693,0.24415067150659642
O75177,Homo sapiens (Human),Healthy,Sano,1.3806754430913435,-1.5135396542138626
O75190,Homo sapiens (Human),Healthy,Sano,4.071768042542068,0.31121858284070203
O75191,Homo sapiens (Human),Diseased,Enfermo,-1.7656559767962061,0.026932752593684876
O75309,Homo sapiens (Human),Healthy,Sano,-1.573468744865095,-0.07182613967188906
O75319,Homo sapiens (Human),Diseased,Enfermo,1.3003830632724778,-1.9019670198588385
O75334,Homo sapiens (Human),Diseased,Enfermo,4.015519805322529,-0.7198763513931878
O75339,Homo sapiens (Human),Diseased,Enfermo,0.5548857381818603,-0.6830130363562837
O75344,Homo sapiens (Human),Healthy,Sano,0.5195425058872634,1.4357558249376843
O75365,Homo sapiens (Human),Healthy,Sano,0.9681155870562556,2.5499031074767853
O75367,Homo sapiens (Human),Diseased,Enfermo,-0.28476344161478445,0.9814912227701191
O75369,Homo sapiens (Human),Healthy,Sano,0.17636968101986641,-0.6367482139502246
O75376,Homo sapiens (Human),Diseased,Enfermo,2.9024266848034412,-3.1155562431918558
O75379,Homo sapiens (Human),Healthy,Sano,4.73906078311798,2.6303279449199906
O75390,Homo sapiens (Human),Healthy,Sano,-0.5997834532504752,2.3520402874444954
O75396,Homo sapiens (Human),Diseased,Enfermo,1.73154919526075,3.6926960298262363
O75438,Homo sapiens (Human),Healthy,Sano,-2.010504292287834,1.0302288685548018
O75443,Homo sapiens (Human),Healthy,Sano,-1.2326568526108261,-1.195031764127742
O75449,Homo sapiens (Human),Diseased,Enfermo,1.129607056442204,-1.1859689083255052
O75469,Homo sapiens (Human),Diseased,Enfermo,0.22207747701104968,-0.2533751948089111
O75475,Homo sapiens (Human),Healthy,Sano,3.0261099866727004,-4.527516296633344
O75486,Homo sapiens (Human),Diseased,Enfermo,2.1540668614063954,1.799721038940631
O75503,Homo sapiens (Human),Healthy,Sano,-3.3398150999500085,-0.8128642743127636
O75554,Homo sapiens (Human),Healthy,Sano,4.0146160023728035,-2.039268945557331
O75558,Homo sapiens (Human),Healthy,Sano,5.017040416809948,3.2439868610303666
O75564,Homo sapiens (Human),Diseased,Enfermo,0.1647337066228555,-0.2875116458475494
O75594,Homo sapiens (Human),Diseased,Enfermo,-3.1622438172147573,-1.5054199018892034
O75610,Homo sapiens (Human),Diseased,Enfermo,0.17848551167599042,0.9927372854734149
O75618,Homo sapiens (Human),Diseased,Enfermo,2.993519611004667,1.7040283880110978
O75628,Homo sapiens (Human),Diseased,Enfermo,-0.8243742997984456,-3.3088843722512866
O75629,Homo sapiens (Human),Healthy,Sano,-0.09689058456556286,2.6903258837948307
O75638,Homo sapiens (Human),Healthy,Sano,-1.2556900936311015,-3.2531869006558765
O75648,Homo sapiens (Human),Diseased,Enfermo,1.0678237039451963,2.306187367612916
O75674,Homo sapiens (Human),Healthy,Sano,2.698997105519847,2.1256826721772604
O75679,Homo sapiens (Human),Diseased,Enfermo,0.19209803410218576,1.1988680664875186
O75752,Homo sapiens (Human),Healthy,Sano,-3.192239744661433,1.2986018915582138
O75762,Homo sapiens (Human),Diseased,Enfermo,-0.4719354644861051,1.8649035384577166
O75781,Homo sapiens (Human),Healthy,Sano,3.2462138617983056,-1.3842337820413564
O75807,Homo sapiens (Human),Healthy,Sano,2.0584930026756325,-3.9804343840797736
O75815,Homo sapiens (Human),Diseased,Enfermo,0.5224006760087317,-1.0915628728931617
O75821,Homo sapiens (Human),Healthy,Sano,1.2538631554540711,-1.8899683801774187
O75828,Homo sapiens (Human),Healthy,Sano,2.0209652387008896,1.850489633129855
O75838,Homo sapiens (Human),Healthy,Sano,-1.5489863202692327,-0.3525300110532423
O75864,Homo sapiens (Human),Healthy,Sano,3.1874693020041898,0.5465016973699712
O75879,Homo sapiens (Human),Diseased,Enfermo,-1.3782433729888641,-1.1279450894258691
O75882,Homo sapiens (Human),Diseased,Enfermo,-1.4405459148890436,-1.2661972720550647
O75884,Homo sapiens (Human),Healthy,Sano,-3.1910257927200876,-1.338788630931659
O75897,Homo sapiens (Human),Healthy,Sano,1.4559832979425849,1.8908891195830617
O75928,Homo sapiens (Human),Diseased,Enfermo,0.43539354202499986,0.5814225895546176
O75935,Homo sapiens (Human),Diseased,Enfermo,3.264373655783224,4.585483113636224
O75952,Homo sapiens (Human),Healthy,Sano,1.1738696335791452,-0.49559892730297583
O75956,Homo sapiens (Human),Healthy,Sano,-5.165782122831983,-5.931491096653293
O75964,Homo sapiens (Human),Healthy,Sano,0.5515337717183011,6.674044259995852
O75969,Homo sapiens (Human),Healthy,Sano,1.313279124117163,-0.6024836480963488
